Variable,Coefficient,P_value,Standardized_Coefficient
Species_x_Sub_RBF_225N,-1835481651070.875,0.686787516775365,1835481651070.875
Species_x_Sub_RBF_225N75P,-130349264355.10156,0.6867875167754122,130349264355.10156
Species_x_Sub_RBF_75N,-228350853858.20557,0.6867875167754995,228350853858.20557
Species_x_Sub_RBF_75N75P,-287276169790.89453,0.6867875167754398,287276169790.89453
Species_x_Sub_RBF_75P,-1123573061400.5625,0.6867875167753309,1123573061400.5625
Species_x_Sub_RBF_CK,-232179859908.43066,0.6867875167773501,232179859908.43066
Species_x_Sub_RBF_HN,-106900090475.68994,0.6867875167756295,106900090475.68994
Species_x_Sub_RBF_HNP,265657606147.05615,0.6867875167761319,265657606147.05615
Species_x_Sub_RBF_LN,126560906838.41699,0.6867875167747133,126560906838.41699
Species_x_Sub_RBF_LNP,387536237687.93555,0.6867875167754796,387536237687.93555
Species_x_Sub_RBF_P,82406987268.71045,0.686787516775164,82406987268.71045
Tre_x_Sub_Grazing_225N75P,-130349264355.10156,0.6867875167754122,130349264355.10156
Tre_x_Sub_Grazing_75N,-228350853858.20557,0.6867875167754995,228350853858.20557
Tre_x_Sub_Grazing_75N75P,-287276169790.89453,0.6867875167754398,287276169790.89453
Tre_x_Sub_Grazing_75P,439964904382.1328,0.6867875167752778,439964904382.1328
Tre_x_Sub_Grazing_CK,-1472506973046.7852,0.6867875167752426,1472506973046.7852
Tre_x_Sub_Grazing_HNP,-997172903922.6309,0.6867875167753223,997172903922.6309
Tre_x_Sub_Grazing_HP,-1491445273580.9648,0.6867875167753184,1491445273580.9648
Tre_x_Sub_Grazing_LNP,-1660143150420.3203,0.6867875167753228,1660143150420.3203
Tre_x_Sub_Grazing_LP,-601600003345.8086,0.6867875167752985,601600003345.8086
Tre_x_Sub_Grazing_N,-956260687117.1348,0.6867875167753237,956260687117.1348
Tre_x_Sub_Hay_CK,-369397771959.8252,0.6867875167751469,369397771959.8252
Tre_x_Sub_Hay_HN,-106900090475.68994,0.6867875167756295,106900090475.68994
Tre_x_Sub_Hay_HNP,-276108712363.3037,0.6867875167751947,276108712363.3037
Tre_x_Sub_Hay_HP,-693898638879.9004,0.6867875167753015,693898638879.9004
Tre_x_Sub_Hay_LN,126560906838.41699,0.6867875167747131,126560906838.41699
Tre_x_Sub_Hay_LNP,-1193081522652.2148,0.6867875167753101,1193081522652.2148
Tre_x_Sub_Hay_LP,195946631355.23828,0.6867875167754683,195946631355.23828
Tre_x_Sub_Hay_N,-158714052416.1665,0.6867875167751046,158714052416.1665
Tre_x_Sub_Hay_P,71290734045.53918,0.6867875167751416,71290734045.53918
